TRADE_DATE,HOUR,MARKET,RES_TYPE,TYPE,VALUE
2023-01-07,13,RTD,LESR,SOC,11666.436249999999
2023-01-07,14,RTD,LESR,SOC,12690.509916666668
2023-01-07,15,RTD,LESR,SOC,13215.856249999999
2023-01-07,16,RTD,LESR,SOC,13425.689583333333
2023-01-07,17,RTD,LESR,SOC,13018.389833333335
2023-01-07,18,RTD,LESR,SOC,11873.278916666668
2023-01-07,19,RTD,LESR,SOC,10548.818166666666
2023-01-07,20,RTD,LESR,SOC,9321.376750000001
2023-01-07,21,RTD,LESR,SOC,8487.78075
2023-01-07,22,RTD,LESR,SOC,8182.9288333333325
2023-01-07,23,RTD,LESR,SOC,7880.821083333333
2023-01-07,24,RTD,LESR,SOC,7710.532083333333
2023-01-08,1,RTD,LESR,SOC,7069.618083333334
2023-01-08,2,RTD,LESR,SOC,7292.074416666666
2023-01-08,3,RTD,LESR,SOC,7373.091666666667
2023-01-08,4,RTD,LESR,SOC,7529.465
2023-01-08,5,RTD,LESR,SOC,7599.858916666667
2023-01-08,6,RTD,LESR,SOC,7537.56275
2023-01-08,7,RTD,LESR,SOC,7432.540916666666
2023-01-08,8,RTD,LESR,SOC,7267.864333333334
2023-01-08,9,RTD,LESR,SOC,7208.280916666667
2023-01-08,10,RTD,LESR,SOC,7775.395666666666
2023-01-08,11,RTD,LESR,SOC,8896.12775
2023-01-08,12,RTD,LESR,SOC,10444.773166666668
2023-01-08,13,RTD,LESR,SOC,11562.490333333333
2023-01-08,14,RTD,LESR,SOC,12483.217750000002
2023-01-08,15,RTD,LESR,SOC,13091.37
2023-01-08,16,RTD,LESR,SOC,13523.41025
2023-01-08,17,RTD,LESR,SOC,12871.097583333334
2023-01-08,18,RTD,LESR,SOC,11052.965583333333
2023-01-08,19,RTD,LESR,SOC,9458.52025
2023-01-08,20,RTD,LESR,SOC,8235.075833333334
2023-01-08,21,RTD,LESR,SOC,7481.073083333333
2023-01-08,22,RTD,LESR,SOC,7351.469083333333
2023-01-08,23,RTD,LESR,SOC,7262.853166666667
2023-01-08,24,RTD,LESR,SOC,7343.841416666666
2023-01-09,1,RTD,LESR,SOC,7086.459833333333
2023-01-09,2,RTD,LESR,SOC,7380.4165
2023-01-09,3,RTD,LESR,SOC,7975.2744999999995
2023-01-09,4,RTD,LESR,SOC,8870.796083333333
2023-01-09,5,RTD,LESR,SOC,9638.48725
2023-01-09,6,RTD,LESR,SOC,9746.20775
2023-01-09,7,RTD,LESR,SOC,9097.696249999999
